EventNo,Date,Time,U1,U2,U3,U4,I1,I2,I3,I4
2,05/2/2026,18:16:29.576,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,+4.70E+00,-11.70E+00,+6.64E+00,+2.281E+00
2,05/2/2026,18:16:29.576,-0.05E+00,-0.05E+00,+0.05E+00,-0.05E+00,+4.55E+00,-11.70E+00,+6.79E+00,+2.205E+00
2,05/2/2026,18:16:29.576,-0.05E+00,-0.05E+00,+0.05E+00,+0.00E+00,+4.38E+00,-11.70E+00,+6.96E+00,+2.129E+00
2,05/2/2026,18:16:29.576,-0.05E+00,-0.05E+00,+0.05E+00,+0.00E+00,+4.23E+00,-11.70E+00,+7.10E+00,+2.045E+00
2,05/2/2026,18:16:29.576,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+4.07E+00,-11.70E+00,+7.25E+00,+1.976E+00
2,05/2/2026,18:16:29.576,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+3.92E+00,-11.70E+00,+7.42E+00,+1.900E+00
2,05/2/2026,18:16:29.576,-0.09E+00,-0.05E+00,+0.00E+00,+0.00E+00,+3.77E+00,-11.70E+00,+7.55E+00,+1.824E+00
2,05/2/2026,18:16:29.576,-0.05E+00,-0.05E+00,+0.00E+00,+0.00E+00,+3.62E+00,-11.70E+00,+7.72E+00,+1.740E+00
2,05/2/2026,18:16:29.576,-0.05E+00,-0.05E+00,+0.05E+00,+0.00E+00,+3.45E+00,-11.69E+00,+7.87E+00,+1.663E+00
2,05/2/2026,18:16:29.576,-0.09E+00,-0.05E+00,+0.00E+00,+0.00E+00,+3.30E+00,-11.69E+00,+8.03E+00,+1.587E+00
2,05/2/2026,18:16:29.576,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+3.13E+00,-11.67E+00,+8.15E+00,+1.511E+00
2,05/2/2026,18:16:29.576,-0.05E+00,-0.05E+00,+0.05E+00,-0.05E+00,+2.99E+00,-11.64E+00,+8.29E+00,+1.434E+00
2,05/2/2026,18:16:29.576,-0.05E+00,-0.05E+00,+0.05E+00,+0.00E+00,+2.84E+00,-11.61E+00,+8.42E+00,+1.358E+00
2,05/2/2026,18:16:29.576,-0.09E+00,-0.05E+00,+0.00E+00,+0.00E+00,+2.67E+00,-11.58E+00,+8.53E+00,+1.274E+00
2,05/2/2026,18:16:29.576,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+2.52E+00,-11.52E+00,+8.65E+00,+1.198E+00
2,05/2/2026,18:16:29.576,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+2.33E+00,-11.48E+00,+8.76E+00,+1.114E+00
2,05/2/2026,18:16:29.576,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+2.17E+00,-11.40E+00,+8.87E+00,+1.030E+00
2,05/2/2026,18:16:29.576,-0.05E+00,+0.00E+00,+0.00E+00,+0.00E+00,+2.00E+00,-11.34E+00,+8.96E+00,+0.946E+00
2,05/2/2026,18:16:29.576,-0.09E+00,-0.05E+00,+0.00E+00,-0.05E+00,+1.83E+00,-11.26E+00,+9.05E+00,+0.855E+00
2,05/2/2026,18:16:29.576,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+1.65E+00,-11.17E+00,+9.14E+00,+0.771E+00
2,05/2/2026,18:16:29.577,-0.05E+00,-0.05E+00,+0.05E+00,+0.00E+00,+1.48E+00,-11.09E+00,+9.25E+00,+0.687E+00
2,05/2/2026,18:16:29.577,-0.05E+00,-0.05E+00,+0.00E+00,+0.00E+00,+1.30E+00,-11.00E+00,+9.34E+00,+0.595E+00
2,05/2/2026,18:16:29.577,-0.09E+00,-0.05E+00,+0.00E+00,+0.00E+00,+1.13E+00,-10.91E+00,+9.42E+00,+0.511E+00
2,05/2/2026,18:16:29.577,-0.09E+00,-0.05E+00,+0.00E+00,-0.05E+00,+0.95E+00,-10.82E+00,+9.51E+00,+0.420E+00
2,05/2/2026,18:16:29.577,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,+0.76E+00,-10.73E+00,+9.60E+00,+0.336E+00
2,05/2/2026,18:16:29.577,-0.09E+00,-0.05E+00,+0.00E+00,+0.00E+00,+0.56E+00,-10.62E+00,+9.67E+00,+0.244E+00
2,05/2/2026,18:16:29.577,-0.05E+00,-0.05E+00,+0.00E+00,+0.00E+00,+0.38E+00,-10.51E+00,+9.77E+00,+0.145E+00
2,05/2/2026,18:16:29.577,-0.05E+00,-0.05E+00,+0.05E+00,+0.00E+00,+0.18E+00,-10.41E+00,+9.84E+00,+0.053E+00
2,05/2/2026,18:16:29.577,-0.09E+00,-0.05E+00,+0.00E+00,-0.05E+00,+0.00E+00,-10.30E+00,+9.92E+00,-0.046E+00
2,05/2/2026,18:16:29.577,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,-0.18E+00,-10.18E+00,+10.00E+00,-0.137E+00
2,05/2/2026,18:16:29.577,-0.05E+00,-0.05E+00,+0.05E+00,+0.00E+00,-0.38E+00,-10.07E+00,+10.07E+00,-0.229E+00
2,05/2/2026,18:16:29.577,-0.09E+00,-0.05E+00,+0.00E+00,+0.00E+00,-0.58E+00,-9.95E+00,+10.16E+00,-0.328E+00
2,05/2/2026,18:16:29.577,-0.09E+00,-0.05E+00,+0.00E+00,+0.00E+00,-0.76E+00,-9.83E+00,+10.24E+00,-0.420E+00
2,05/2/2026,18:16:29.577,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-0.96E+00,-9.71E+00,+10.30E+00,-0.511E+00
2,05/2/2026,18:16:29.577,-0.05E+00,-0.05E+00,+0.05E+00,-0.05E+00,-1.16E+00,-9.60E+00,+10.36E+00,-0.610E+00
2,05/2/2026,18:16:29.577,-0.09E+00,-0.05E+00,+0.00E+00,-0.05E+00,-1.36E+00,-9.46E+00,+10.42E+00,-0.710E+00
2,05/2/2026,18:16:29.577,-0.09E+00,-0.05E+00,+0.00E+00,-0.05E+00,-1.54E+00,-9.32E+00,+10.50E+00,-0.801E+00
2,05/2/2026,18:16:29.577,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,-1.72E+00,-9.20E+00,+10.56E+00,-0.893E+00
2,05/2/2026,18:16:29.577,-0.05E+00,-0.05E+00,+0.05E+00,-0.05E+00,-1.92E+00,-9.08E+00,+10.62E+00,-0.992E+00
2,05/2/2026,18:16:29.577,-0.05E+00,-0.05E+00,+0.00E+00,+0.00E+00,-2.12E+00,-8.94E+00,+10.68E+00,-1.083E+00
2,05/2/2026,18:16:29.578,-0.09E+00,-0.05E+00,+0.00E+00,+0.00E+00,-2.30E+00,-8.79E+00,+10.73E+00,-1.175E+00
2,05/2/2026,18:16:29.578,-0.09E+00,-0.05E+00,+0.00E+00,-0.05E+00,-2.50E+00,-8.67E+00,+10.77E+00,-1.267E+00
